,Taxon,X.1,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
393,POA BULBOSA,5069,5069,oreac.us,2,8,2.666666667,3.5,3.5,-4.5,0.833333333,17.70666667,0.3224,10.49,21.09,0.2032,NA,NA,0.01366667,GRASS,ANNUAL,GRASS
485,SONCHUS OLERACEUS,4077,4077,lcsouth.cl,2,1,1,1,1,0,0,34.9,NA,NA,NA,0.755,NA,76.97,0.1,FORB,ANNUAL,FORB
486,SONCHUS OLERACEUS,5483,5483,qdtsouth.cl,2,2,2,1,0.5,-1,-1.5,34.9,NA,NA,NA,0.755,NA,76.97,0.1,FORB,ANNUAL,FORB
264,GERANIUM DISSECTUM,5863,5863,scruzl.us,2,75,18.75,28,7,-47,-11.75,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB
265,GERANIUM DISSECTUM,3252,3252,jenadrt.de,2,8,2.666666667,11,3.666666667,3,1,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB
224,ERODIUM CICUTARIUM,6090,6090,spvdrt.ar,2,10,3.333333333,1,1,-9,-2.333333333,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
225,ERODIUM CICUTARIUM,1420,1420,capmcd.us,2,0.7,0.233333333,0.1,0.1,-0.6,-0.133333333,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
226,ERODIUM CICUTARIUM,4014,4014,lcnorth.cl,2,1.5,0.75,1.5,0.5,0,-0.25,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
227,ERODIUM CICUTARIUM,5752,5752,scruzh.us,2,3,3,2,2,-1,-1,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
228,ERODIUM CICUTARIUM,2935,2935,gmgranite.us,2,0.9,0.128571429,0.2,0.1,-0.7,-0.028571429,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
229,ERODIUM CICUTARIUM,2971,2971,gmmolar.us,2,1.4,0.2,0.7,0.1,-0.7,-0.1,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
483,SONCHUS ASPER,5810,5810,scruzh.us,2,3,3,2,2,-1,-1,27.6,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB
