"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"21","ALYSSUM DESERTORUM","nplatte.us",2,2.25,0.25,NA,0.1,NA,27.17578947,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"27","ANAGALLIS ARVENSIS","scruzh.us",5.6818182,9.75,4.0681818,25,0.187,NA,28.34396552,0.315,NA,NA,NA,"FORB","ANNUAL","FORB"
"35","APERA SPICA-VENTI","baddrt.de",9.366666667,0.3,-9.066666667,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"36","ARENARIA SERPYLLIFOLIA","jenadrt.de",0.5,0.75,0.25,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,"FORB","ANNUAL","FORB"
"37","ARISTIDA HOLATHERA","ethadn.au",2.5,3,0.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"38","ARISTIDA HOLATHERA","ethadb.au",3,12.5,9.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"59","AVENA BARBATA","scruzl.us",1.2195122,9,7.7804878,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"60","AVENA BARBATA","naposta.ar",20,20,0,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"61","AVENA BARBATA","scruzm.us",66.17974404,69,2.82025596,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"62","BASSIA SCOPARIA","antelope.us",0.70375,0.25,-0.45375,32.45,1.184444444,NA,19.65690846,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"66","BOUTELOUA ARISTIDOIDES","cerrillos.ar",36.565,30.42,-6.145,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,"GRASS","ANNUAL","GRASS"
"78","BROMUS DIANDRUS","scruzm.us",2.1978022,6.2,4.0021978,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"79","BROMUS DIANDRUS","scruzl.us",1.2195122,5,3.7804878,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"82","BROMUS HORDEACEUS","baddrt.de",0.01,0.2,0.19,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"83","BROMUS HORDEACEUS","scruzh.us",2.76928305,5,2.23071695,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"85","BROMUS JAPONICUS","oreac.us",13.1,15.1,2,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"86","BROMUS JAPONICUS","oreaa.us",0.5,0.5,0,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"87","BROMUS RUBENS","gmmolar.us",1.428571429,0.114285714,-1.314285715,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"88","BROMUS RUBENS","gmgranite.us",0.5,0.1,-0.4,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"89","BROMUS RUBENS","capmcd.us",0.5,0.166666667,-0.333333333,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"91","BROMUS STERILIS","baddrt.de",5,10,5,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"92","BROMUS STERILIS","cowidrt.ca",3.333333333,5.333333333,2,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"93","BROMUS TECTORUM","hard.us",5,4,-1,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"94","BROMUS TECTORUM","nplatte.us",14.14285714,5.333333333,-8.809523807,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
