"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"12","AGROSTIS CANINA","lygraold.no",2,1,-1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"13","AGROSTIS CANINA","lygraint.no",1,1,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"14","AGROSTIS CAPILLARIS","pineta.es",37.16666667,2.166666667,-35,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"15","AGROSTIS MONTEVIDENSIS","marcdrt.ar",5.5,5.333333333,-0.166666667,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"16","AGROSTIS RUPESTRIS","passogavia.it",1.7,1.7,0,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"20","ALOPECURUS PRATENSIS","validate.fr",16.4,20.6,4.2,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"GRASS","PERENNIAL","GRASS"
"28","ANDROPOGON GERARDII","cedartrait.us",6.4,1,-5.4,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"29","ANDROPOGON GERARDII","konzadrt.us",53.6,15,-38.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"30","ANDROPOGON GERARDII","cedarsav.us",8.8,9,0.2,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"31","ANDROPOGON GERARDII","brookdale.ca",2.611111111,1.25,-1.361111111,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"32","ANTHOXANTHUM ODORATUM","cowidrt.ca",3.4,1,-2.4,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"33","ANTHOXANTHUM ODORATUM","elvadrt.ee",1.5,1.333333333,-0.166666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"39","ARISTIDA JUNCIFORMIS","ukulingadrt.za",9,25,16,9.7441916,NA,NA,8.6,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"41","ARRHENATHERUM ELATIUS","rhijn.nl",20,23.33333333,3.333333333,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"42","ARRHENATHERUM ELATIUS","validate.fr",9.6,11.6,2,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"67","BOUTELOUA CURTIPENDULA","konzadrt.us",3.5,20,16.5,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,"GRASS","PERENNIAL","GRASS"
"68","BOUTELOUA GRACILIS","nplatte.us",20.8,5.142857143,-15.65714286,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"69","BOUTELOUA GRACILIS","mattheis.ca",26,23,-3,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"70","BRACHYPODIUM PINNATUM","allmendb.ch",13,11.58333333,-1.416666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"71","BRACHYPODIUM PINNATUM","allmendo.ch",6.083333333,4.5,-1.583333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"72","BRACHYPODIUM PINNATUM","pineta.es",15.5,4.5,-11,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"73","BRACHYPODIUM RETUSUM","ayora.es",24.33333333,30,5.66666667,7.1,0.4,NA,16.24363109,0.2586667,NA,25.86916574,0.85,"GRASS","PERENNIAL","GRASS"
"74","BRIZA MEDIA","allmendo.ch",2.416666667,2.416666667,-3.33e-10,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"75","BRIZA MEDIA","allmendb.ch",2.5,2.5,0,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"76","BRIZA MEDIA","elvadrt.ee",25,30,5,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"80","BROMUS ERECTUS","allmendo.ch",15.66666667,15.25,-0.41666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"81","BROMUS ERECTUS","allmendb.ch",22.08333333,17.58333333,-4.499999997,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"84","BROMUS INERMIS","brookdale.ca",3.65,2.4,-1.25,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"GRASS","PERENNIAL","GRASS"
"90","BROMUS SETIFOLIUS","paike.ar",2.5,2.5,0,NA,0.102,NA,20.31,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"95","CALAMOVILFA LONGIFOLIA","cedarsav.us",5,2.5,-2.5,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,"GRAMINOID","PERENNIAL","GRASS"
"124","CENCHRUS CILIARIS","cerrillos.ar",1.25,0.63,-0.62,18.5,0.9144,6.5,14.69,0.508,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"143","CHONDROSUM ERIOPODUM","jorndrt.us",27.33333333,11.33333333,-16,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"144","CHONDROSUM ERIOPODUM","antelope.us",5.68125,2.764285714,-2.916964286,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"169","CYMBOPOGON CAESIUS","ukulingadrt.za",6.5,40.25,33.75,13.857227,NA,NA,17.88,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"170","CYNODON DACTYLON","yarradrt.au",47.5,66.325,18.825,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,"GRAMINOID","PERENNIAL","GRASS"
"171","CYNODON DACTYLON","sclaudio.ar",1,6.5,5.5,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,"GRAMINOID","PERENNIAL","GRASS"
"173","DACTYLIS GLOMERATA","validate.fr",29.6,19,-10.6,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"174","DACTYLIS GLOMERATA","cowidrt.ca",4.25,2.25,-2,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"175","DACTYLIS GLOMERATA","rhijn.nl",20,24.33333333,4.333333333,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"176","DACTYLIS GLOMERATA","elvadrt.ee",11.66666667,5,-6.66666667,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"179","DANTHONIA CALIFORNICA","oreaa.us",8.166666667,8.166666667,-3.33e-10,21.1,0.6096,NA,46.56,0.4064,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"183","DESCHAMPSIA CESPITOSA","paike.ar",1,1,0,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,"GRASS","PERENNIAL","GRASS"
"184","DESCHAMPSIA FLEXUOSA","hoide.de",3.666666667,15,11.33333333,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,"GRASS","PERENNIAL","GRASS"
"185","DESCHAMPSIA FLEXUOSA","lygraint.no",1,5,4,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,"GRASS","PERENNIAL","GRASS"
"187","DICHANTHELIUM OLIGOSANTHES","oklah.us",11,7,-4,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"188","DICHANTHELIUM OLIGOSANTHES","bfl.us",32,7,-25,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"189","DICHANTHELIUM OLIGOSANTHES","konzadrt.us",2.8,2,-0.8,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"194","EHRHARTA STIPOIDES","yarradrt.au",61.25,14.29,-46.96,25.541,NA,NA,21.72,NA,0.72,NA,0.043,"GRASS","PERENNIAL","GRASS"
"195","ELYMUS ELYMOIDES","oreaa.us",7.7,3.5,-4.2,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,"GRASS","PERENNIAL","GRASS"
"196","ELYMUS ELYMOIDES","oreac.us",5.833333333,2.875,-2.958333333,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,"GRASS","PERENNIAL","GRASS"
"197","ELYMUS GLAUCUS","cowidrt.ca",6,5,-1,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,NA,"GRASS, forb (SantaCruzHigh)","PERENNIAL","GRASS"
"198","ELYMUS LANCEOLATUS","kinsella.ca",1,1,0,25.371642,NA,NA,22.74526261,1.25,0.30820288,94.78007133,0.221186667,"GRASS","PERENNIAL","GRASS"
"199","ELYMUS REPENS","brookdale.ca",1,1,0,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"GRASS","PERENNIAL","GRASS"
"200","ELYMUS REPENS","jenadrt.de",0.5,2.25,1.75,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"GRASS","PERENNIAL","GRASS"
"201","ELYMUS SMITHII","biddulph.ca",0.5,0.5,0,28.0185,0.6096,17.06975875,31.74700117,0.508,NA,73.5,NA,"GRAMINOID","PERENNIAL","GRASS"
"204","ENNEAPOGON POLYPHYLLUS","credom.au",1,0.5,-0.5,10.55,0.325,3.7,7.035333333,NA,0.44,NA,0.6,"GRASS","PERENNIAL","GRASS"
"229","FESTUCA ARUNDINACEA","marcdrt.ar",71.25,70,-1.25,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"230","FESTUCA ARUNDINACEA","sclaudio.ar",78.75,70,-8.75,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"231","FESTUCA ARUNDINACEA","chilcasdrt.ar",66.66666667,74,7.33333333,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"232","FESTUCA HALLERI","passogavia.it",2,2,0,13,NA,NA,9.9,0.101,NA,NA,0.31,"GRASS","PERENNIAL","GRASS"
"233","FESTUCA IDAHOENSIS","oreac.us",13.75,7,-6.75,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"234","FESTUCA IDAHOENSIS","cmss.us",25,18.33333333,-6.666666667,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"235","FESTUCA IDAHOENSIS","oreaa.us",9.1,6.3,-2.8,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"236","FESTUCA OVINA","allmendb.ch",0.833333333,1.166666667,0.333333334,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"237","FESTUCA OVINA","allmendo.ch",7.083333333,6.666666667,-0.416666666,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"238","FESTUCA PRATENSIS","elvadrt.ee",7.333333333,5.666666667,-1.666666666,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,"GRASS","PERENNIAL","GRASS"
"239","FESTUCA RUBRA","pineta.es",8,0.5,-7.5,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"240","FESTUCA RUBRA","elvadrt.ee",3,4.333333333,1.333333333,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"241","FESTUCA RUBRA","rhijn.nl",25,16.66666667,-8.333333333,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"242","FESTUCA VIVIPARA","lygraint.no",2,1,-1,NA,0.065,NA,11.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"265","GOUINIA PARAGUAYENSIS","cerrillos.ar",7.5,13.75,6.25,23.1,0.47,NA,19.71,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"278","HELICTOTRICHON PRATENSE","allmendo.ch",3.75,3.583333333,-0.166666667,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"279","HELICTOTRICHON PRATENSE","allmendb.ch",4.25,4.416666667,0.166666667,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"280","HELICTOTRICHON PUBESCENS","elvadrt.ee",1.5,1,-0.5,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,"GRASS","PERENNIAL","GRASS"
"281","HELICTOTRICHON VERSICOLOR","passogavia.it",2.5,3,0.5,18.88884001,0.14,6.081157261,11.48996431,NA,NA,77.65999999,NA,"GRASS","PERENNIAL","GRASS"
"284","HESPEROSTIPA COMATA","mattheis.ca",21,16.6,-4.4,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,"GRASS","PERENNIAL","GRASS"
"285","HETEROPOGON CONTORTUS","bfl.us",8.5,21,12.5,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,"GRASS","PERENNIAL","GRASS"
"286","HILARIA JAMESII","antelope.us",1.975,0.633333333,-1.341666667,21.68723958,0.6096,7.6,13.95707872,0.3048,NA,140.9228,0.056,"GRAMINOID","PERENNIAL","GRASS"
"289","HOLCUS LANATUS","rhijn.nl",6.666666667,13.33333333,6.666666666,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"290","HOLCUS LANATUS","scruzh.us",14.5281933,2,-12.5281933,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"299","KOELERIA MACRANTHA","mattheis.ca",10,8.4,-1.6,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"300","KOELERIA MACRANTHA","biddulph.ca",1,3,2,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"301","KOELERIA MACRANTHA","hard.us",5.5,14,8.5,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"302","KOELERIA MACRANTHA","matador.ca",2.5,1,-1.5,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"303","KOELERIA MACRANTHA","konzadrt.us",8.6,4.2,-4.4,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"304","KOELERIA MICRATHERA","cedartrait.us",4,1.5,-2.5,NA,NA,NA,14.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"311","LEERSIA HEXANDRA","chilcasdrt.ar",0.625,0.625,0,17.321052,1.5,NA,26,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"330","LOLIUM PERENNE","jenadrt.de",47.33333333,39.66666667,-7.666666663,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"331","LOLIUM PERENNE","validate.fr",7.02,10,2.98,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"332","LOLIUM PERENNE","baddrt.de",0.05,0.4,0.35,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"344","MOLINIA CAERULEA","lygraold.no",1.5,7.333333333,5.833333333,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"345","MOLINIA CAERULEA","lygraint.no",6,1,-5,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"349","NASSELLA NEESIANA","naposta.ar",36.66666667,8.333333333,-28.33333334,14.2304221,0.8,NA,16,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"350","NASSELLA TRICHOTOMA","naposta.ar",25,5.333333333,-19.66666667,NA,0.7,NA,11.297312,NA,NA,NA,0.77666667,"GRASS","PERENNIAL","GRASS"
"351","NASSELLA VIRIDULA","matador.ca",18.66666667,15.33333333,-3.333333337,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,"GRAMINOID","PERENNIAL","GRASS"
"354","OREOCHLOA DISTICHA","passogavia.it",0.275,0.7,0.425,22,0.115,NA,9.2,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"358","PASCOPYRUM SMITHII","kinsella.ca",21,21,0,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"359","PASCOPYRUM SMITHII","mattheis.ca",1,15,14,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"360","PASCOPYRUM SMITHII","matador.ca",5.333333333,5.666666667,0.333333334,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
