"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"1","ACAENA PINNATIFIDA","paike.ar",1,1,0,NA,0.025,NA,9.38,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"2","ACHILLEA MILLEFOLIUM","allmendb.ch",1.25,1.416666667,0.166666667,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"3","ACHILLEA MILLEFOLIUM","allmendo.ch",0.75,1.25,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"4","ACHILLEA MILLEFOLIUM","brookdale.ca",1.5,1,-0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"5","ACHILLEA MILLEFOLIUM","elvadrt.ee",6.666666667,5.666666667,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"6","ACHILLEA MILLEFOLIUM","oreac.us",1.833333333,1,-0.833333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"7","ACHILLEA MILLEFOLIUM","kernb.ca",2.666666667,3,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"8","ACHILLEA MILLEFOLIUM","hard.us",2,1.666666667,-0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"9","ACHILLEA MILLEFOLIUM","kinsella.ca",15,15,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"10","AGASTACHE FOENICULUM","brookdale.ca",1.5,1.5,0,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,"FORB","PERENNIAL","FORB"
"11","AGRIMONIA EUPATORIA","elvadrt.ee",1,1,0,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,"FORB","PERENNIAL","FORB"
"12","AGROSTIS CANINA","lygraold.no",2,1,-1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"13","AGROSTIS CANINA","lygraint.no",1,1,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"14","AGROSTIS CAPILLARIS","pineta.es",37.16666667,2.166666667,-35,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"15","AGROSTIS MONTEVIDENSIS","marcdrt.ar",5.5,5.333333333,-0.166666667,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"16","AGROSTIS RUPESTRIS","passogavia.it",1.7,1.7,0,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"17","ALCHEMILLA PENTAPHYLLEA","passogavia.it",53.8,52,-1.8,37,NA,NA,21,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"18","ALLIONIA INCARNATA","cerrillos.ar",1.25,1.88,0.63,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,"FORB","PERENNIAL","FORB"
"19","ALLIUM ACUMINATUM","oreaa.us",1,0.5,-0.5,NA,0.3048,NA,8.45,0.1524,NA,NA,1.64,"FORB","PERENNIAL","FORB"
"20","ALOPECURUS PRATENSIS","validate.fr",16.4,20.6,4.2,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"GRASS","PERENNIAL","GRASS"
"22","AMBROSIA PSILOSTACHYA","oklah.us",19,11,-8,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"FORB","PERENNIAL","FORB"
"23","AMBROSIA PSILOSTACHYA","slp.us",10.33333333,1,-9.33333333,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"FORB","PERENNIAL","FORB"
"24","AMBROSIA TENUIFOLIA","chilcasdrt.ar",2.958333333,0.25,-2.708333333,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,"FORB","PERENNIAL","FORB"
"25","AMBROSIA TENUIFOLIA","marcdrt.ar",1,2,1,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,"FORB","PERENNIAL","FORB"
"26","AMORPHA CANESCENS","cedarsav.us",6.75,3.5,-3.25,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,"FORB","PERENNIAL","LEGUME"
"28","ANDROPOGON GERARDII","cedartrait.us",6.4,1,-5.4,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
