,Taxon,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
351,FESTUCA OVINA,60,allmendb.ch,1,2.25,2.25,2.5,0.833333333,0.25,-1.416666667,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,GRASS,PERENNIAL,GRASS,1
352,FESTUCA OVINA,209,allmendo.ch,1,16.25,5.416666667,21.25,7.083333333,5,1.666666667,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,GRASS,PERENNIAL,GRASS,2
216,CHONDROSUM ERIOPODUM,3461,jorndrt.us,1,95,31.66666667,82,27.33333333,-13,-4.333333333,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,40
217,CHONDROSUM ERIOPODUM,3482,jrnchi.us,1,45.0248912,4.50248912,4.6914733,0.781912217,-40.3334179,-3.720576903,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,41
218,CHONDROSUM ERIOPODUM,5991,sevblue.us,1,8.25,1.65,28.85,4.808333333,20.6,3.158333333,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,73
219,CHONDROSUM ERIOPODUM,303,antelope.us,1,47.65,5.95625,45.45,5.68125,-2.2,-0.275,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,3
220,CHONDROSUM ERIOPODUM,5980,sevblack.us,1,126.65,18.09285714,52,7.428571429,-74.65,-10.66428571,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,72
221,CHONDROSUM ERIOPODUM,5995,sevmixed.us,1,79.9,11.41428571,51.4,7.342857143,-28.5,-4.071428571,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,74
112,BOUTELOUA CURTIPENDULA,3887,konzadrt.us,1,2,2,7,3.5,5,1.5,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,GRASS,PERENNIAL,GRASS,46
540,MUHLENBERGIA ARENICOLA,5985,sevblack.us,1,2,1,1,1,-1,0,NA,NA,NA,14.31621017,NA,NA,139.5016,0.034,GRASS,PERENNIAL,GRASS,72
