"","site_code","Taxon","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response"
"1","allmendb.ch","ACHILLEA MILLEFOLIUM",0.5,5,1.66666666666667,5,1.66666666666667,0,0
"2","allmendb.ch","ACHILLEA MILLEFOLIUM",1,5.5,1.83333333333333,3.75,1.25,-1.75,-0.583333333333333
"3","allmendb.ch","ACHILLEA MILLEFOLIUM",2,5.25,1.75,4.25,1.41666666666667,-1,-0.333333333333333
"4","allmendb.ch","ACHILLEA MILLEFOLIUM",3,5.25,1.75,2.75,0.916666666666667,-2.5,-0.833333333333333
"5","allmendb.ch","ALLIUM CARINATUM",3,0,0,0.25,0.25,0.25,0.25
"6","allmendb.ch","ANTHYLLIS VULNERARIA",0.5,1.5,1.5,0,0,-1.5,-1.5
"7","allmendb.ch","ANTHYLLIS VULNERARIA",1,1.5,0.75,0,0,-1.5,-0.75
"8","allmendb.ch","ANTHYLLIS VULNERARIA",2,1.5,0.75,0,0,-1.5,-0.75
"9","allmendb.ch","ANTHYLLIS VULNERARIA",3,1.5,0.75,0,0,-1.5,-0.75
"10","allmendb.ch","ASPERULA CYNANCHICA",0.5,0.25,0.25,0.5,0.5,0.25,0.25
"11","allmendb.ch","ASPERULA CYNANCHICA",1,0.5,0.25,0.25,0.25,-0.25,0
"12","allmendb.ch","ASPERULA CYNANCHICA",2,0.75,0.375,0.25,0.25,-0.5,-0.125
"13","allmendb.ch","ASPERULA CYNANCHICA",3,0.75,0.375,0,0,-0.75,-0.375
"14","allmendb.ch","BRACHYPODIUM PINNATUM",0.5,52.25,17.4166666666667,35.25,11.75,-17,-5.66666666666667
"15","allmendb.ch","BRACHYPODIUM PINNATUM",1,55.75,18.5833333333333,39,13,-16.75,-5.58333333333333
"16","allmendb.ch","BRACHYPODIUM PINNATUM",2,55.75,18.5833333333333,34.75,11.5833333333333,-21,-7
"17","allmendb.ch","BRACHYPODIUM PINNATUM",3,60.25,20.0833333333333,36,12,-24.25,-8.08333333333333
"18","allmendb.ch","BRIZA MEDIA",0.5,7.25,2.41666666666667,7.5,2.5,0.25,0.0833333333333335
"19","allmendb.ch","BRIZA MEDIA",1,7.5,2.5,7.5,2.5,0,0
"20","allmendb.ch","BRIZA MEDIA",2,7.5,2.5,7.5,2.5,0,0
"21","allmendb.ch","BRIZA MEDIA",3,7.25,2.41666666666667,7.25,2.41666666666667,0,0
"22","allmendb.ch","BROMUS ERECTUS",0.5,49.5,16.5,77.5,25.8333333333333,28,9.33333333333333
"23","allmendb.ch","BROMUS ERECTUS",1,51.75,17.25,66.25,22.0833333333333,14.5,4.83333333333333
"24","allmendb.ch","BROMUS ERECTUS",2,51.75,17.25,52.75,17.5833333333333,1,0.333333333333332
"25","allmendb.ch","BROMUS ERECTUS",3,47.25,15.75,44.75,14.9166666666667,-2.5,-0.833333333333334
"26","allmendb.ch","CAREX CARYOPHYLLEA",0.5,32.25,10.75,47.25,15.75,15,5
"27","allmendb.ch","CAREX CARYOPHYLLEA",1,32.5,10.8333333333333,49.5,16.5,17,5.66666666666667
"28","allmendb.ch","CAREX CARYOPHYLLEA",2,35,11.6666666666667,43.75,14.5833333333333,8.75,2.91666666666667
"29","allmendb.ch","CAREX CARYOPHYLLEA",3,35,11.6666666666667,35,11.6666666666667,0,0
"30","allmendb.ch","CAREX FLACCA",0.5,11.25,5.625,0.25,0.25,-11,-5.375
"31","allmendb.ch","CAREX FLACCA",1,8.75,4.375,0.25,0.25,-8.5,-4.125
"32","allmendb.ch","CAREX FLACCA",2,3.5,1.75,0.25,0.25,-3.25,-1.5
"33","allmendb.ch","CAREX FLACCA",3,4.5,2.25,0.25,0.25,-4.25,-2
"34","allmendb.ch","CARLINA VULGARIS",0.5,0.25,0.25,0.5,0.5,0.25,0.25
"35","allmendb.ch","CARLINA VULGARIS",1,0.25,0.25,0,0,-0.25,-0.25
"36","allmendb.ch","CARLINA VULGARIS",2,0.25,0.25,0,0,-0.25,-0.25
"37","allmendb.ch","CARLINA VULGARIS",3,0.25,0.25,0,0,-0.25,-0.25
"38","allmendb.ch","CENTAUREA JACEA",0.5,5.25,1.75,1.75,0.875,-3.5,-0.875
"39","allmendb.ch","CENTAUREA JACEA",1,7,2.33333333333333,3,1.5,-4,-0.833333333333333
"40","allmendb.ch","CENTAUREA JACEA",2,6,2,2.5,1.25,-3.5,-0.75
"41","allmendb.ch","CENTAUREA JACEA",3,6.75,2.25,2.75,1.375,-4,-0.875
"42","allmendb.ch","CENTAUREA SCABIOSA",0.5,14.5,4.83333333333333,24.25,8.08333333333333,9.75,3.25
"43","allmendb.ch","CENTAUREA SCABIOSA",1,15.5,5.16666666666667,21.75,7.25,6.25,2.08333333333333
"44","allmendb.ch","CENTAUREA SCABIOSA",2,21.5,7.16666666666667,21.75,7.25,0.25,0.083333333333333
"45","allmendb.ch","CENTAUREA SCABIOSA",3,26,8.66666666666667,20.5,6.83333333333333,-5.5,-1.83333333333333
"46","allmendb.ch","CREPIS BIENNIS",0.5,1.75,1.75,2,2,0.25,0.25
"47","allmendb.ch","CREPIS BIENNIS",1,1.75,1.75,0.5,0.5,-1.25,-1.25
"48","allmendb.ch","CREPIS BIENNIS",2,0.5,0.5,0.25,0.25,-0.25,-0.25
"49","allmendb.ch","CREPIS BIENNIS",3,0.25,0.25,0.25,0.25,0,0
"50","allmendb.ch","ECHIUM VULGARE",0.5,0.5,0.5,1.5,1.5,1,1
"51","allmendb.ch","ECHIUM VULGARE",1,0.25,0.25,0.75,0.375,0.5,0.125
"52","allmendb.ch","ECHIUM VULGARE",2,0.25,0.25,0.75,0.375,0.5,0.125
"53","allmendb.ch","ECHIUM VULGARE",3,0.25,0.25,0.25,0.25,0,0
"54","allmendb.ch","EUPHORBIA CYPARISSIAS",0.5,0,0,3.75,3.75,3.75,3.75
"55","allmendb.ch","EUPHORBIA CYPARISSIAS",1,0.25,0.25,4,2,3.75,1.75
"56","allmendb.ch","EUPHORBIA CYPARISSIAS",2,0.25,0.25,4,2,3.75,1.75
"57","allmendb.ch","EUPHORBIA CYPARISSIAS",3,0.5,0.5,5.5,2.75,5,2.25
"58","allmendb.ch","FESTUCA ARUNDINACEA",2,0.25,0.25,0,0,-0.25,-0.25
"59","allmendb.ch","FESTUCA OVINA",0.5,2.75,1.375,3.25,1.08333333333333,0.5,-0.291666666666667
"60","allmendb.ch","FESTUCA OVINA",1,2.25,2.25,2.5,0.833333333333333,0.25,-1.41666666666667
"61","allmendb.ch","FESTUCA OVINA",2,2.5,2.5,3.5,1.16666666666667,1,-1.33333333333333
"62","allmendb.ch","FESTUCA OVINA",3,3.5,1.75,4,1.33333333333333,0.5,-0.416666666666667
"63","allmendb.ch","GALIUM MOLLUGO",0.5,0,0,0.25,0.25,0.25,0.25
"64","allmendb.ch","GALIUM VERUM",0.5,2.5,2.5,0,0,-2.5,-2.5
"65","allmendb.ch","GALIUM VERUM",1,2.5,0.833333333333333,0,0,-2.5,-0.833333333333333
"66","allmendb.ch","GALIUM VERUM",2,2.25,2.25,0,0,-2.25,-2.25
"67","allmendb.ch","GALIUM VERUM",3,2.75,1.375,0,0,-2.75,-1.375
"68","allmendb.ch","GLOBULARIA VULGARIS",0.5,3.5,1.16666666666667,0.5,0.5,-3,-0.666666666666667
"69","allmendb.ch","GLOBULARIA VULGARIS",1,5.25,1.75,0.75,0.375,-4.5,-1.375
"70","allmendb.ch","GLOBULARIA VULGARIS",2,6.5,2.16666666666667,1,0.5,-5.5,-1.66666666666667
"71","allmendb.ch","GLOBULARIA VULGARIS",3,6.75,2.25,1,0.5,-5.75,-1.75
"72","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",0.5,22.5,7.5,35,11.6666666666667,12.5,4.16666666666667
"73","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",1,18.75,6.25,32.5,10.8333333333333,13.75,4.58333333333333
"74","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",2,17.5,5.83333333333333,23.75,7.91666666666667,6.25,2.08333333333333
"75","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",3,16.25,5.41666666666667,15,5,-1.25,-0.416666666666667
"76","allmendb.ch","HELICTOTRICHON PRATENSE",0.5,6,2,9,3,3,1
"77","allmendb.ch","HELICTOTRICHON PRATENSE",1,8.25,2.75,12.75,4.25,4.5,1.5
"78","allmendb.ch","HELICTOTRICHON PRATENSE",2,9.25,3.08333333333333,13.25,4.41666666666667,4,1.33333333333333
"79","allmendb.ch","HELICTOTRICHON PRATENSE",3,12,4,14.5,4.83333333333333,2.5,0.833333333333333
"80","allmendb.ch","HIPPOCREPIS COMOSA",0.5,33.75,11.25,36.25,12.0833333333333,2.5,0.833333333333334
"81","allmendb.ch","HIPPOCREPIS COMOSA",1,37.5,12.5,31.25,10.4166666666667,-6.25,-2.08333333333333
"82","allmendb.ch","HIPPOCREPIS COMOSA",2,42.5,14.1666666666667,30,10,-12.5,-4.16666666666667
"83","allmendb.ch","HIPPOCREPIS COMOSA",3,42.5,14.1666666666667,22.5,7.5,-20,-6.66666666666667
"84","allmendb.ch","KNAUTIA ARVENSIS",0.5,0,0,1.5,1.5,1.5,1.5
"85","allmendb.ch","KNAUTIA ARVENSIS",1,0,0,1.5,1.5,1.5,1.5
"86","allmendb.ch","KNAUTIA ARVENSIS",2,0,0,1.5,1.5,1.5,1.5
"87","allmendb.ch","KNAUTIA ARVENSIS",3,0,0,1.5,1.5,1.5,1.5
"88","allmendb.ch","LEUCANTHEMUM VULGARE",0.5,2.5,1.25,2.25,1.125,-0.25,-0.125
"89","allmendb.ch","LEUCANTHEMUM VULGARE",1,2.75,1.375,3,1.5,0.25,0.125
"90","allmendb.ch","LEUCANTHEMUM VULGARE",2,2.75,1.375,3,1.5,0.25,0.125
"91","allmendb.ch","LEUCANTHEMUM VULGARE",3,3.5,1.75,2,1,-1.5,-0.75
"92","allmendb.ch","LINUM CATHARTICUM",0.5,7,2.33333333333333,4.25,1.41666666666667,-2.75,-0.916666666666667
"93","allmendb.ch","LINUM CATHARTICUM",1,7.5,2.5,6.25,2.08333333333333,-1.25,-0.416666666666667
"94","allmendb.ch","LINUM CATHARTICUM",2,5.5,1.83333333333333,3.25,1.08333333333333,-2.25,-0.75
"95","allmendb.ch","LINUM CATHARTICUM",3,4.5,2.25,3.5,1.16666666666667,-1,-1.08333333333333
"96","allmendb.ch","LOTUS CORNICULATUS",0.5,1.5,0.5,6.5,2.16666666666667,5,1.66666666666667
"97","allmendb.ch","LOTUS CORNICULATUS",1,2.75,0.916666666666667,4,1.33333333333333,1.25,0.416666666666667
"98","allmendb.ch","LOTUS CORNICULATUS",2,3.5,1.16666666666667,4.5,1.5,1,0.333333333333333
"99","allmendb.ch","LOTUS CORNICULATUS",3,2.5,0.833333333333333,3,1,0.5,0.166666666666667
"100","allmendb.ch","MEDICAGO LUPULINA",0.5,1,1,0.25,0.25,-0.75,-0.75
"101","allmendb.ch","MEDICAGO LUPULINA",1,2,1,0.25,0.25,-1.75,-0.75
"102","allmendb.ch","MEDICAGO LUPULINA",2,0.25,0.25,0,0,-0.25,-0.25
"103","allmendb.ch","PIMPINELLA SAXIFRAGA",0.5,8.75,2.91666666666667,7.5,2.5,-1.25,-0.416666666666667
"104","allmendb.ch","PIMPINELLA SAXIFRAGA",1,7.5,2.5,7.25,2.41666666666667,-0.25,-0.0833333333333335
"105","allmendb.ch","PIMPINELLA SAXIFRAGA",2,7.5,2.5,6.75,2.25,-0.75,-0.25
"106","allmendb.ch","PIMPINELLA SAXIFRAGA",3,7.25,2.41666666666667,7,2.33333333333333,-0.25,-0.083333333333333
"107","allmendb.ch","PLANTAGO LANCEOLATA",0.5,1,0.5,2.75,0.916666666666667,1.75,0.416666666666667
"108","allmendb.ch","PLANTAGO LANCEOLATA",1,0.25,0.25,2,1,1.75,0.75
"109","allmendb.ch","PLANTAGO LANCEOLATA",2,0,0,0.5,0.25,0.5,0.25
