,site_code,Taxon,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response
2,allmendb.ch,ACHILLEA MILLEFOLIUM,1,5.5,1.833333333,3.75,1.25,-1.75,-0.583333333
7,allmendb.ch,ANTHYLLIS VULNERARIA,1,1.5,0.75,0,0,-1.5,-0.75
11,allmendb.ch,ASPERULA CYNANCHICA,1,0.5,0.25,0.25,0.25,-0.25,0
15,allmendb.ch,BRACHYPODIUM PINNATUM,1,55.75,18.58333333,39,13,-16.75,-5.583333333
19,allmendb.ch,BRIZA MEDIA,1,7.5,2.5,7.5,2.5,0,0
23,allmendb.ch,BROMUS ERECTUS,1,51.75,17.25,66.25,22.08333333,14.5,4.833333333
27,allmendb.ch,CAREX CARYOPHYLLEA,1,32.5,10.83333333,49.5,16.5,17,5.666666667
31,allmendb.ch,CAREX FLACCA,1,8.75,4.375,0.25,0.25,-8.5,-4.125
35,allmendb.ch,CARLINA VULGARIS,1,0.25,0.25,0,0,-0.25,-0.25
39,allmendb.ch,CENTAUREA JACEA,1,7,2.333333333,3,1.5,-4,-0.833333333
43,allmendb.ch,CENTAUREA SCABIOSA,1,15.5,5.166666667,21.75,7.25,6.25,2.083333333
47,allmendb.ch,CREPIS BIENNIS,1,1.75,1.75,0.5,0.5,-1.25,-1.25
51,allmendb.ch,ECHIUM VULGARE,1,0.25,0.25,0.75,0.375,0.5,0.125
55,allmendb.ch,EUPHORBIA CYPARISSIAS,1,0.25,0.25,4,2,3.75,1.75
60,allmendb.ch,FESTUCA OVINA,1,2.25,2.25,2.5,0.833333333,0.25,-1.416666667
65,allmendb.ch,GALIUM VERUM,1,2.5,0.833333333,0,0,-2.5,-0.833333333
69,allmendb.ch,GLOBULARIA VULGARIS,1,5.25,1.75,0.75,0.375,-4.5,-1.375
73,allmendb.ch,HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,1,18.75,6.25,32.5,10.83333333,13.75,4.583333333
77,allmendb.ch,HELICTOTRICHON PRATENSE,1,8.25,2.75,12.75,4.25,4.5,1.5
81,allmendb.ch,HIPPOCREPIS COMOSA,1,37.5,12.5,31.25,10.41666667,-6.25,-2.083333333
85,allmendb.ch,KNAUTIA ARVENSIS,1,0,0,1.5,1.5,1.5,1.5
89,allmendb.ch,LEUCANTHEMUM VULGARE,1,2.75,1.375,3,1.5,0.25,0.125
93,allmendb.ch,LINUM CATHARTICUM,1,7.5,2.5,6.25,2.083333333,-1.25,-0.416666667
97,allmendb.ch,LOTUS CORNICULATUS,1,2.75,0.916666667,4,1.333333333,1.25,0.416666667
101,allmendb.ch,MEDICAGO LUPULINA,1,2,1,0.25,0.25,-1.75,-0.75
104,allmendb.ch,PIMPINELLA SAXIFRAGA,1,7.5,2.5,7.25,2.416666667,-0.25,-0.083333333
108,allmendb.ch,PLANTAGO LANCEOLATA,1,0.25,0.25,2,1,1.75,0.75
112,allmendb.ch,POLYGALA VULGARIS,1,6,2,4.25,1.416666667,-1.75,-0.583333333
116,allmendb.ch,POTENTILLA GRANDIFLORA,1,2.75,0.916666667,2,0.666666667,-0.75,-0.25
120,allmendb.ch,PRUNELLA VULGARIS,1,53.5,17.83333333,42.25,14.08333333,-11.25,-3.75
127,allmendb.ch,RHINANTHUS MINOR,1,1.25,0.416666667,6,2,4.75,1.583333333
130,allmendb.ch,SALVIA PRATENSIS,1,2.25,1.125,6.5,3.25,4.25,2.125
134,allmendb.ch,SANGUISORBA MINOR,1,8,2.666666667,7.5,2.5,-0.5,-0.166666667
138,allmendb.ch,SCABIOSA COLUMBARIA,1,7.75,2.583333333,3,1,-4.75,-1.583333333
143,allmendb.ch,TARAXACUM TARAXACUM,1,0.5,0.5,0,0,-0.5,-0.5
147,allmendb.ch,TEUCRIUM CHAMAEDRYS,1,1,1,11.5,5.75,10.5,4.75
151,allmendb.ch,THYMUS SERPYLLUM,1,6.5,2.166666667,5,1.666666667,-1.5,-0.5
155,allmendb.ch,TRIFOLIUM MONTANUM,1,1,1,0.25,0.25,-0.75,-0.75
159,allmendb.ch,TRIFOLIUM PRATENSE,1,2,1,2.25,0.75,0.25,-0.25
162,allmendo.ch,ACHILLEA MILLEFOLIUM,1,1.25,1.25,0.75,0.75,-0.5,-0.5
166,allmendo.ch,ANTHYLLIS VULNERARIA,1,1.75,0.875,4.5,1.5,2.75,0.625
170,allmendo.ch,ASPERULA CYNANCHICA,1,1.25,0.416666667,4.75,2.375,3.5,1.958333333
174,allmendo.ch,BRACHYPODIUM PINNATUM,1,10.75,3.583333333,18.25,6.083333333,7.5,2.5
178,allmendo.ch,BRIZA MEDIA,1,5.5,1.833333333,7.25,2.416666667,1.75,0.583333333
182,allmendo.ch,BROMUS ERECTUS,1,68.5,22.83333333,47,15.66666667,-21.5,-7.166666667
186,allmendo.ch,CAREX CARYOPHYLLEA,1,37.25,12.41666667,42.5,14.16666667,5.25,1.75
190,allmendo.ch,CAREX FLACCA,1,1.5,1.5,1.5,1.5,0,0
195,allmendo.ch,CENTAUREA JACEA,1,2,1,4.5,2.25,2.5,1.25
199,allmendo.ch,CENTAUREA SCABIOSA,1,8.25,4.125,5.25,1.75,-3,-2.375
204,allmendo.ch,EUPHORBIA CYPARISSIAS,1,2.25,2.25,1.75,1.75,-0.5,-0.5
209,allmendo.ch,FESTUCA OVINA,1,16.25,5.416666667,21.25,7.083333333,5,1.666666667
213,allmendo.ch,GALIUM VERUM,1,5.25,1.75,1.75,0.875,-3.5,-0.875
217,allmendo.ch,GLOBULARIA VULGARIS,1,1.75,0.583333333,4,1.333333333,2.25,0.75
221,allmendo.ch,GYPSOPHILA REPENS,1,0.25,0.25,0.5,0.5,0.25,0.25
225,allmendo.ch,HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,1,17.5,5.833333333,16.25,5.416666667,-1.25,-0.416666667
229,allmendo.ch,HELICTOTRICHON PRATENSE,1,3.25,1.083333333,11.25,3.75,8,2.666666667
233,allmendo.ch,HIPPOCREPIS COMOSA,1,16,5.333333333,8.5,2.833333333,-7.5,-2.5
239,allmendo.ch,LINUM CATHARTICUM,1,6.25,2.083333333,5,1.666666667,-1.25,-0.416666667
243,allmendo.ch,LOTUS CORNICULATUS,1,1.25,0.625,0.75,0.375,-0.5,-0.25
247,allmendo.ch,MEDICAGO LUPULINA,1,0.25,0.25,0,0,-0.25,-0.25
249,allmendo.ch,PIMPINELLA SAXIFRAGA,1,7,2.333333333,6.5,2.166666667,-0.5,-0.166666667
253,allmendo.ch,PLANTAGO LANCEOLATA,1,1.5,0.75,0.75,0.75,-0.75,0
257,allmendo.ch,POLYGALA VULGARIS,1,0.75,0.375,0.5,0.5,-0.25,0.125
259,allmendo.ch,POTENTILLA GRANDIFLORA,1,15.75,5.25,9.75,3.25,-6,-2
263,allmendo.ch,PRUNELLA VULGARIS,1,23.75,7.916666667,12.5,4.166666667,-11.25,-3.75
267,allmendo.ch,RHINANTHUS MINOR,1,3.25,1.083333333,2.5,0.833333333,-0.75,-0.25
271,allmendo.ch,SALVIA PRATENSIS,1,0.5,0.5,7.75,3.875,7.25,3.375
275,allmendo.ch,SANGUISORBA MINOR,1,0,0,0.5,0.5,0.5,0.5
279,allmendo.ch,SCABIOSA COLUMBARIA,1,0.5,0.25,3.25,1.625,2.75,1.375
284,allmendo.ch,TEUCRIUM CHAMAEDRYS,1,11.5,3.833333333,7.75,2.583333333,-3.75,-1.25
288,allmendo.ch,TEUCRIUM MONTANUM,1,7.25,7.25,0,0,-7.25,-7.25
292,allmendo.ch,THYMUS SERPYLLUM,1,4.5,1.5,5.5,1.833333333,1,0.333333333
296,allmendo.ch,TRIFOLIUM MONTANUM,1,2,0.666666667,0.5,0.5,-1.5,-0.166666667
299,antelope.us,BASSIA SCOPARIA,1,0.32,0.045714286,5.63,0.70375,5.31,0.658035714
303,antelope.us,CHONDROSUM ERIOPODUM,1,47.65,5.95625,45.45,5.68125,-2.2,-0.275
310,antelope.us,HILARIA JAMESII,1,33.7,4.2125,15.8,1.975,-17.9,-2.2375
316,antelope.us,MENTZELIA MONTANA,1,0.92,0.131428571,2.21,0.368333333,1.29,0.236904762
320,antelope.us,POMARIA JAMESII,1,1,1,0,0,-1,-1
324,antelope.us,SALSOLA KALI,1,0.25,0.25,2.8,0.933333333,2.55,0.683333333
329,antelope.us,SPHAERALCEA HASTULATA,1,0.05,0.05,2,2,1.95,1.95
333,ayora.es,APHYLLANTHES MONSPELIENSIS,1,0,0,1,1,1,1
336,ayora.es,ARGYROLOBIUM ZANONII,1,2,1,1,1,-1,0
339,ayora.es,ASPERULA ARISTATA,1,1,1,0,0,-1,-1
341,ayora.es,BRACHYPODIUM RETUSUM,1,61,10.16666667,73,24.33333333,12,14.16666667
345,ayora.es,CAREX DISTACHYA,1,15,7.5,5,2.5,-10,-5
348,ayora.es,CISTUS ALBIDUS,1,70,11.66666667,44,14.66666667,-26,3
351,ayora.es,CISTUS CLUSII,1,9,4.5,5,5,-4,0.5
354,ayora.es,CORIS MONSPELIENSIS,1,1,1,0,0,-1,-1
