,leafN,height,rootN,SLA,root_depth,RTD,SRL,root_diam
Acaena_echinata,22.74341383,0.17865,13.17351071,13.19,0.636713557,0.349698681,161.9729457,0.517565276
Acaena_pinnatifida,23.12332975,0.025,13.05936822,9.38,0.663158923,0.378622062,156.253229,0.491929295
Achillea_millefolium,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
Agastache_foeniculum,14.7,0.117557613,10.02865451,15.29,0.124,0.18,56.33396667,0.42
Agrimonia_eupatoria,14.78,0.087,14.78,13.66,1.55,0.1143,256.5123846,0.497525475
Agrostis_canina,20.86288625,0.4223,9.3,33.1583154,0.254,0.100489808,198.0882488,0.15
Agrostis_capillaris,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429
Agrostis_montevidensis,21.13881933,0.229358974,8.373856221,12,0.373474257,0.318088373,166.7639741,0.121223477
Agrostis_rupestris,17,0.035,8.497540706,15.5,0.41135993,0.282451859,187.9538421,0.121651842
Agrostis_scabra,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21
Agrostis_stolonifera,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1
Aira_caryophyllea,19.9,0.155,8.843084453,21.08,0.181536575,0.207004398,224.2166835,0.21
Aira_elegantissima,19.86963359,0.45,9.059887926,25.838354,0.066,0.172497212,234.0845178,0.228
Alchemilla_pentaphyllea,37,-0.045242284,12.45427063,21,0.467155761,0.322232544,124.474535,0.553869747
Allionia_incarnata,23.79473104,0.4,9.368672762,21.88917424,0.4,0.333244632,10.31,0.665
Allium_acuminatum,23.66432391,0.3048,10.42533081,8.45,0.1524,0.364284504,-121.5964055,1.64
Alopecurus_pratensis,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955
Alyssum_desertorum,31.47332265,0.1,13.3203141,27.17578947,1.121515675,0.520679488,44.5774581,0.377279161
Ambrosia_artemisiifolia,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36
Ambrosia_psilostachya,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44
Ambrosia_tenuifolia,18.2,4.572,18.87281285,9.366271504,0.6096,0.363287337,178.9047728,0.762624192
Amorpha_canescens,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19
Anagallis_arvensis,25,0.187,12.15309586,28.34396552,0.315,0.203073729,93.81085379,0.439038433
Andropogon_gerardii,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7
Andropogon_virginicus,13.3,0.763593333,9.715897322,11.86738259,0.3556,0.294763114,44.58555987,0.416054483
Androsace_septentrionalis,19.4925,0.011,12.29704857,30.84123333,0.1,0.183558573,79.99696667,0.475864035
Anthoxanthum_odoratum,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111
Anthyllis_vulneraria,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25
Apera_spica-venti,22.44308186,0.775,8.744455455,19.13333333,0.66,0.183564622,193.8,0.300132339
Arenaria_serpyllifolia,12,0.075,13.275,23.7,0.21,0.067,277.6260987,0.207422972
Argyrolobium_zanonii,22.77,0.1,16.12450158,13,0.72,0.541050721,-9.21104815,0.306616845
Aristida_holathera,8.4875,0.7,2.975,5.62,0.703009912,0.745,44.86124996,0.375
Aristida_junciformis,9.7441916,0.473295859,6.107893951,8.6,0.891348767,0.453943142,58.53052607,0.592460859
Aristida_purpurea,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71
Aristida_stricta,11.1128167,1.18872,6.318642134,6.79,0.1524,0.536990085,57.28887629,0.573693542
Armeria_maritima,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923
Arrhenatherum_elatius,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692
Artemisia_campestris,18.886,0.353,9.064339995,18.71203,1.22,0.366498,52.76693333,0.46
Artemisia_ludoviciana,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
Asclepias_viridis,26.58908484,0.456,10.48924134,10.46681531,0.9351367,0.320746666,41.57111916,0.36446
Asperula_cynanchica,26.78563146,0.284375,4.540442599,27.91666667,0.93,0.3908625,22.875,0.16639
Asperula_gunnii,23.36581912,0.432,8.643246404,21.796842,0.570946719,0.353973018,157.6465274,0.169025203
Astragalus_nuttallianus,38.28432063,0.185118405,19.73670371,20.29476228,0.13,0.245409475,9.530497,0.2
Astrantia_major,28.539,0.4215,10.15016148,22.75909384,1.102055464,0.24350627,154.1435862,0.500938893
Astrebla_lappacea,16.2306281,0.65,10.57238756,11.43619445,0.294261224,0.487353953,48.02869853,0.25146667
Astrebla_pectinata,16.01841132,0.63,10.58097487,11.341433,0.300165986,0.486860653,52.4590653,0.229652918
Avena_barbata,17,0.389,8.408464445,25.674375,0.5,0.02363125,149,0.373688235
Baptisia_bracteata,35.8,0.225616867,16.9166706,12.09,2.032,0.459982294,-20.93418002,0.28143411
Bassia_scoparia,32.45,1.184444444,9.39334462,19.65690846,0.573370828,0.384575183,97.31383001,0.249537131
Bellis_perennis,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583
Blennospora_drummondii,25.9005718,0.06807094,23.970935,18.695174,0.753190743,0.081468985,225.8374294,0.260210048
Boerhavia_diffusa,22.5528536,0.55,8.971301891,20.76,1.2,0.347315764,14.29,0.630988319
Bothriochloa_laguroides,13.51123279,0.993039909,6.652572306,26,0.254858361,0.225215068,42.6832417,0.37501601
Bouteloua_aristidoides,15.9,0.04,11.24538881,12.89,0.3,0.350158988,103.65,0.067251419
Bouteloua_curtipendula,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032
Bouteloua_gracilis,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167
Brachypodium_distachyon,27.125,0.1005,5.111622677,30.85889908,0.5,0.156995021,57.70141681,0.460505074
Brachypodium_pinnatum,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993
Brachypodium_retusum,7.1,0.4,4.578925223,16.24363109,0.2586667,0.304852694,25.86916574,0.85
Briza_media,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333
Bromus_catharticus,24.92311687,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525
Bromus_diandrus,19.4,0.99,10.24261237,39,0.664721084,0.142148117,238.8,0.414834417
