Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA,leafC,leafN.mg.g,height,rootC,rootN.mg.g,seed.dry.mass,SLA,leaf.thickness,root.depth,RTD,fineRTD,LDMC,SRL,fineSRL,rootDiam,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,,,
ABUTILON HALOPHILUM,Accepted,ABUTILON HALOPHILUM,,,,,,,,,,,,,,,,,,,,,,,,
ACACIA TETRAGONOPHYLLA,Accepted,ACACIA TETRAGONOPHYLLA,,17.71693333,443.2248201,39.75775398,3.333333333,366.82,34.39,14.05177778,6.689844518,,,,,,,,,,,,,,,
ACAENA ECHINATA,Unresolved,,"synonym: Acaena pennatula, Acaena echinata is accepted name on Kew",,,,,,,8.2905,,,,,,,,,,,,,,,,
ACAENA PINNATIFIDA,Accepted,ACAENA PINNATIFIDA,,,,,,,,8.9,,,,,,,,,,,,,,,,
ACAENA POEPPIGIANA,Accepted,ACAENA POEPPIGIANA,,,,,,,,,,,,,,,,,,,,,,,,
ACALYPHA ANGUSTATA,Accepted,ACALYPHA ANGUSTATA,,,,,,,,,,,,,,,,,,,,,,,,
ACAMPTOPAPPUS SHOCKLEYI,Accepted,ACAMPTOPAPPUS SHOCKLEYI,,,,24.8,,,,1.4,,,0.4,,,,,,,,,depth from GRooT,,,,
ACER MACROPHYLLUM,Accepted,ACER MACROPHYLLUM,,14953,,26.4,20.17066667,458,15,118.554238,29.548,0.1319,0.6096,,,,,,,,,rootC and N from GRooT,,,,
ACER PLATANOIDES,Accepted,ACER PLATANOIDES,,7530.930667,,20.09269841,24.86933333,433.41,10.98000555,120.6161196,23.73468194,0.127023238,1.016,0.452549377,,0.325994623,28.23956406,,0.953838934,,,"rootC, rootN, RTD, SRL, Diam from GRooT",,,,
ACER SACCHARUM,Accepted,ACER SACCHARUM,,,,18.14984431,25.751,441.5399468,5.2,58.9183477,29.94474253,0.126605,0.8128,0.27589533,,0.375488337,45.40188716,,0.449927887,29.9,,"rootC,RTD,SRL, Diam from Groot",,,,
ACHILLEA MILLEFOLIUM,Accepted,ACHILLEA MILLEFOLIUM,,1006.5,428.1501336,23.95541537,0.423259428,382.6042417,21.37548076,0.165170971,17.65160206,0.2751,0.2032,0.138977909,,0.241440695,138.0670955,,0.26778,56.00567705,2.45685,,"RTD, SRL, Diam from Justin",,,
ACMELLA DECUMBENS,Accepted,ACMELLA DECUMBENS,,,,,,,,,,,,,,,,,,,,,,,,
ACMISPON AMERICANUS,Accepted,ACMISPON AMERICANUS,,,,,,,,4.864547619,,,,,,,,,,,,,,,,
ACMISPON MARITIMUS,Accepted,ACMISPON MARITIMUS,,,,,,,,1.805375,,,,,,,,,,,,,,,,
ACMISPON PARVIFLORUS,Accepted,ACMISPON PARVIFLORUS,,,,,,,,2.29,,,,,,,,,,,,,,,,
ACMISPON STRIGOSUS,Accepted,ACMISPON STRIGOSUS,,,,,,,,1.452333333,,,,,,,,,,,,,,,,
ACOURTIA NANA,Accepted,ACOURTIA NANA,,,,18.76667,,,,,,,,,,,,,,,,,,,,
ADESMIA LOTOIDES,Accepted,ADESMIA LOTOIDES,,,,,,,,,,,,,,,,,,,,,,,,
AFROASTER HISPIDA,NA,,synonym: Aster bakerianus,,,,,,,,,,,,,,,,,,,,,,,
AGASTACHE FOENICULUM,Accepted,AGASTACHE FOENICULUM,,,,14.7,,,,0.265,,,0.124,0.18,,,52.64967537,,0.42,,,"diam, RTD, depth, SRL from Groot",,,,
AGOSERIS GLAUCA,Accepted,AGOSERIS GLAUCA,,,,,0.3048,458.6270905,8.852539063,1.135582471,,,0.1524,,,,56.33396327,,,,,"SLR, rootC, and Root N from Groot",,,,
AGRIMONIA EUPATORIA,Accepted,AGRIMONIA EUPATORIA,,8461,425,14.6,0.771111111,,14.78,18.92263571,15.529,,,,,0.31825,,,,,,leafN_PI data,,,,
AGROSTIS CANINA,Accepted,AGROSTIS CANINA,,46.735,425.65,20.86288625,0.4223,435.75,9.3,0.05732,33.1583154,0.101333333,0.254,,,0.284018,,,0.15,,,,,,,
AGROSTIS CAPILLARIS,Accepted,AGROSTIS CAPILLARIS,,192.947,434.0801587,27.65006595,0.393022873,416.2357143,8.907142857,0.070611111,29.44748071,0.120492064,0.3048,0.230872486,,0.260963078,141.2639378,,0.128571429,,,"RTD, SRL from Groot",,,,
