"","site_code","Taxon","mean.after.control","mean.after.drought","after.cover.response","mean.after.control.0","mean.after.drought.0","after.cover.response.0","mean.before.control","mean.before.drought","before.cover.response","mean.before.control.0","mean.before.drought.0","before.cover.response.0","cover.change"
"1","allmendb.ch","ACHILLEA MILLEFOLIUM",1.83333333333333,1.25,-0.583333333333333,1.83333333333333,1.25,-0.583333333333333,1.33333333333333,1.875,0.541666666666667,1.33333333333333,1.875,0.541666666666667,-1.125
"2","allmendb.ch","ANTHYLLIS VULNERARIA",0.75,NA,NA,0.75,0,-0.75,0.75,NA,NA,0.75,0,-0.75,0
"3","allmendb.ch","ASPERULA CYNANCHICA",0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0
"4","allmendb.ch","BRACHYPODIUM PINNATUM",18.5833333333333,13,-5.58333333333333,18.5833333333333,13,-5.58333333333333,12,9.75,-2.25,12,9.75,-2.25,-3.33333333333333
"5","allmendb.ch","BRIZA MEDIA",2.5,2.5,0,2.5,2.5,0,3.33333333333333,4.16666666666667,0.833333333333333,3.33333333333333,4.16666666666667,0.833333333333333,-0.833333333333333
"6","allmendb.ch","BROMUS ERECTUS",17.25,22.0833333333333,4.83333333333333,17.25,22.0833333333333,4.83333333333333,18,26.25,8.25,18,26.25,8.25,-3.41666666666667
"7","allmendb.ch","CAREX CARYOPHYLLEA",10.8333333333333,16.5,5.66666666666667,10.8333333333333,16.5,5.66666666666667,10.75,16.5,5.75,10.75,16.5,5.75,-0.0833333333333339
"8","allmendb.ch","CAREX FLACCA",4.375,0.25,-4.125,4.375,0.25,-4.125,4.25,NA,NA,4.25,0,-4.25,0.125
"9","allmendb.ch","CARLINA VULGARIS",0.25,NA,NA,0.25,0,-0.25,0.25,0.5,0.25,0.25,0.5,0.25,-0.5
"10","allmendb.ch","CENTAUREA JACEA",2.33333333333333,1.5,-0.833333333333333,2.33333333333333,1.5,-0.833333333333333,1.91666666666667,1.5,-0.416666666666667,1.91666666666667,1.5,-0.416666666666667,-0.416666666666667
"11","allmendb.ch","CENTAUREA SCABIOSA",5.16666666666667,7.25,2.08333333333333,5.16666666666667,7.25,2.08333333333333,5.5,6.08333333333333,0.583333333333333,5.5,6.08333333333333,0.583333333333333,1.5
"12","allmendb.ch","CREPIS BIENNIS",1.75,0.5,-1.25,1.75,0.5,-1.25,0.25,0.5,0.25,0.25,0.5,0.25,-1.5
"13","allmendb.ch","ECHIUM VULGARE",0.25,0.375,0.125,0.25,0.375,0.125,NA,1.75,NA,0,1.75,1.75,-1.625
"14","allmendb.ch","EUPHORBIA CYPARISSIAS",0.25,2,1.75,0.25,2,1.75,NA,3.25,NA,0,3.25,3.25,-1.5
"15","allmendb.ch","FESTUCA OVINA",2.25,0.833333333333333,-1.41666666666667,2.25,0.833333333333333,-1.41666666666667,3.5,0.625,-2.875,3.5,0.625,-2.875,1.45833333333333
"16","allmendb.ch","GALIUM VERUM",0.833333333333333,NA,NA,0.833333333333333,0,-0.833333333333333,3.75,NA,NA,3.75,0,-3.75,2.91666666666667
"17","allmendb.ch","GLOBULARIA VULGARIS",1.75,0.375,-1.375,1.75,0.375,-1.375,1.58333333333333,0.25,-1.33333333333333,1.58333333333333,0.25,-1.33333333333333,-0.0416666666666665
"18","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",6.25,10.8333333333333,4.58333333333333,6.25,10.8333333333333,4.58333333333333,4.58333333333333,5.41666666666667,0.833333333333334,4.58333333333333,5.41666666666667,0.833333333333334,3.75
"19","allmendb.ch","HELICTOTRICHON PRATENSE",2.75,4.25,1.5,2.75,4.25,1.5,2.66666666666667,2.75,0.0833333333333335,2.66666666666667,2.75,0.0833333333333335,1.41666666666667
"20","allmendb.ch","HIPPOCREPIS COMOSA",12.5,10.4166666666667,-2.08333333333333,12.5,10.4166666666667,-2.08333333333333,7.5,5.83333333333333,-1.66666666666667,7.5,5.83333333333333,-1.66666666666667,-0.416666666666667
"21","allmendb.ch","KNAUTIA ARVENSIS",NA,1.5,NA,0,1.5,1.5,NA,1.5,NA,0,1.5,1.5,0
"22","allmendb.ch","LEUCANTHEMUM VULGARE",1.375,1.5,0.125,1.375,1.5,0.125,1,0.75,-0.25,1,0.75,-0.25,0.375
"23","allmendb.ch","LINUM CATHARTICUM",2.5,2.08333333333333,-0.416666666666667,2.5,2.08333333333333,-0.416666666666667,4.58333333333333,3.25,-1.33333333333333,4.58333333333333,3.25,-1.33333333333333,0.916666666666667
"24","allmendb.ch","LOTUS CORNICULATUS",0.916666666666667,1.33333333333333,0.416666666666667,0.916666666666667,1.33333333333333,0.416666666666667,NA,1.91666666666667,NA,0,1.91666666666667,1.91666666666667,-1.5
"25","allmendb.ch","PIMPINELLA SAXIFRAGA",2.5,2.41666666666667,-0.0833333333333335,2.5,2.41666666666667,-0.0833333333333335,4,2.5,-1.5,4,2.5,-1.5,1.41666666666667
"26","allmendb.ch","PLANTAGO LANCEOLATA",0.25,1,0.75,0.25,1,0.75,0.25,0.375,0.125,0.25,0.375,0.125,0.625
"27","allmendb.ch","POTENTILLA GRANDIFLORA",0.916666666666667,0.666666666666667,-0.25,0.916666666666667,0.666666666666667,-0.25,0.375,0.75,0.375,0.375,0.75,0.375,-0.625
"28","allmendb.ch","PRUNELLA VULGARIS",17.8333333333333,14.0833333333333,-3.75,17.8333333333333,14.0833333333333,-3.75,13.5833333333333,9.16666666666667,-4.41666666666667,13.5833333333333,9.16666666666667,-4.41666666666667,0.66666666666667
"29","allmendb.ch","RHINANTHUS MINOR",0.416666666666667,2,1.58333333333333,0.416666666666667,2,1.58333333333333,6.66666666666667,5.08333333333333,-1.58333333333333,6.66666666666667,5.08333333333333,-1.58333333333333,3.16666666666667
"30","allmendb.ch","SALVIA PRATENSIS",1.125,3.25,2.125,1.125,3.25,2.125,1.5,2.375,0.875,1.5,2.375,0.875,1.25
