"","Taxon","site_code","mean.after.control","mean.after.drought","after.cover.response","mean.before.control","mean.before.drought","before.cover.response","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"10","AGROSTIS CANINA","lygraint.no",1,1,0,1,1,0,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"11","AGROSTIS CAPILLARIS","lygraint.no",1,1,0,2,1,-1,1,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"12","AGROSTIS MONTEVIDENSIS","marcdrt.ar",8,5.5,-2.5,20,25,5,-7.5,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"13","AGROSTIS RUPESTRIS","passogavia.it",2.5,1.7,-0.8,1.54,0.8,-0.74,-0.06,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"14","AGROSTIS SCABRA","kernb.ca",3,1.333333333,-1.666666667,3.5,2.333333333,-1.166666667,-0.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"15","AGROSTIS SCABRA","mattheis.ca",5,3,-2,3.5,3,-0.5,-1.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"16","AIRA ELEGANTISSIMA","jilpanger.au",0.625,0.5,-0.125,0.75,0.5,-0.25,0.125,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"GRASS","ANNUAL","GRASS"
"21","ANDROPOGON GERARDII","brookdale.ca",2.875,2.611111111,-0.263888889,19.83333333,9,-10.83333333,10.56944445,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"22","ANDROPOGON GERARDII","konzadrt.us",50,53.6,3.6,43.2,41,-2.2,5.8,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"23","ANDROPOGON GERARDII","cedarsav.us",17.14285714,8.8,-8.342857143,7.666666667,9.75,2.083333333,-10.42619048,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"24","ANDROPOGON GERARDII","purdue.us",18.75,26.66666667,7.916666667,27.375,27.375,0,7.916666667,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"25","ANDROPOGON GERARDII","cedartrait.us",17,6.4,-10.6,13,5,-8,-2.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"27","ANTHOXANTHUM ODORATUM","cowidrt.ca",3.333333333,3.4,0.066666667,8.5,7.2,-1.3,1.366666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"28","ANTHOXANTHUM ODORATUM","elvadrt.ee",1.333333333,1.5,0.166666667,1.666666667,7.666666667,6,-5.833333333,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"29","ANTHOXANTHUM ODORATUM","teshio.jp",16.66666667,14.5,-2.166666667,12.9,12.75,-0.15,-2.016666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"31","APERA SPICA-VENTI","baddrt.de",4.7625,9.366666667,4.604166667,1.775,7,5.225,-0.620833333,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"32","ARISTIDA HOLATHERA","ethadb.au",14.5,3,-11.5,2.75,1.5,-1.25,-10.25,8.4875,0.7,2.975,5.62,NA,NA,NA,0.375,"GRASS","ANNUAL","GRASS"
"33","ARISTIDA STRICTA","sand.us",26.66666667,27,0.333333333,14,23.33333333,9.333333333,-9,11.1128167,1.18872,NA,6.79,0.1524,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"35","ARRHENATHERUM ELATIUS","rhijn.nl",8.333333333,20,11.66666667,11.83333333,6.333333333,-5.5,17.16666667,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"44","ASTREBLA LAPPACEA","milparinka.au",21,21,0,25,17.5,-7.5,7.5,16.2306281,0.65,NA,11.43619445,NA,NA,NA,0.25146667,"GRASS","PERENNIAL","GRASS"
"45","ASTREBLA PECTINATA","milparinka.au",21,21,0,19,25,6,-6,NA,0.63,NA,11.341433,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"46","AVENA BARBATA","scruzl.us",5.472445967,1.2195122,-4.252933767,41,30.6,-10.4,6.147066233,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"47","AVENA BARBATA","naposta.ar",15,20,5,5,5,0,5,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"48","AVENA BARBATA","scruzm.us",75.91367574,66.17974404,-9.7339317,86.6924611,81.37091954,-5.32154156,-4.41239014,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"49","AVENELLA FLEXUOSA","lygraold.no",3,25,22,1.333333333,3,1.666666667,20.33333333,NA,0.3309,NA,NA,0.75,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"51","BOUTELOUA CURTIPENDULA","konzadrt.us",2,3.5,1.5,18,21.5,3.5,-2,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,"GRASS","PERENNIAL","GRASS"
"52","BOUTELOUA GRACILIS","mattheis.ca",25,26,1,15.4,18,2.6,-1.6,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"53","BOUTELOUA GRACILIS","cdpt_drt.us",15,12.83333333,-2.166666667,11.66666667,10.66666667,-1,-1.166666667,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"54","BOUTELOUA GRACILIS","nplatte.us",7.571428571,20.8,13.22857143,32.5,21,-11.5,24.72857143,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"55","BRACHYPODIUM DISTACHYON","scruzm.us",1.0416667,1.8348624,0.7931957,2.3809524,1.95238095,-0.42857145,1.22176715,21.9,0.1005,NA,30.85889908,0.5,NA,NA,NA,"FORB","ANNUAL","GRASS"
"56","BRACHYPODIUM PINNATUM","allmendo.ch",3.583333333,6.083333333,2.5,6.25,5.833333333,-0.416666667,2.916666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"57","BRACHYPODIUM PINNATUM","allmendb.ch",18.58333333,13,-5.583333333,12,9.75,-2.25,-3.333333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"58","BRIZA MAXIMA","scruzh.us",26.74486566,39.30012252,12.55525686,7.50628706,18.0385227,10.53223564,2.02302122,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"59","BRIZA MAXIMA","scruzm.us",2.45535715,3.6697248,1.21436765,6.44743045,9.407574067,2.960143617,-1.745775967,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"60","BRIZA MEDIA","elvadrt.ee",23.33333333,25,1.666666667,21.66666667,23.33333333,1.666666667,3.55e-15,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"61","BRIZA MEDIA","allmendb.ch",2.5,2.5,0,3.333333333,4.166666667,0.833333333,-0.833333333,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"62","BRIZA MEDIA","allmendo.ch",1.833333333,2.416666667,0.583333333,1.666666667,2.666666667,1,-0.416666667,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"63","BROMUS CATHARTICUS","marcdrt.ar",9.75,15,5.25,10.33333333,1.666666667,-8.666666667,13.91666667,NA,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,"GRASS","BOTH","GRASS"
"64","BROMUS DIANDRUS","scruzl.us",11.6161616,1.2195122,-10.3966494,36.2,55.6,19.4,-29.7966494,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"65","BROMUS DIANDRUS","scruzm.us",2.25851305,2.1978022,-0.06071085,6.35743175,1.5048119,-4.85261985,4.791909,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"66","BROMUS ERECTUS","allmendb.ch",17.25,22.08333333,4.833333333,18,26.25,8.25,-3.416666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"67","BROMUS ERECTUS","allmendo.ch",22.83333333,15.66666667,-7.166666667,17.25,16.5,-0.75,-6.416666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"68","BROMUS INERMIS","brookdale.ca",3.1,3.65,0.55,9.666666667,11.25,1.583333333,-1.033333333,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"GRASS","PERENNIAL","GRASS"
"69","BROMUS JAPONICUS","oreaa.us",0.5,0.5,0,0.625,2.25,1.625,-1.625,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"70","BROMUS JAPONICUS","oreac.us",3,13.1,10.1,15.7,58.5,42.8,-32.7,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"71","BROMUS JAPONICUS","cdpt_drt.us",2,4,2,5.5,1,-4.5,6.5,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
